"","id","lifespan","sum_degree","sum_strength","sum_eigen","mean_mat","mean_matSize","mean_HRO","mean_N","mean_E","matriline","LRS","LBS","mean.grp.size","matSize"
"1","AGA84",-0.943710535029286,-1.38630118676789,-1.06057890107414,-1.07579548694056,-1.27774706547127,1.04358221407385,-2.76356332667496,-0.0239973176911116,2.98662637740802,"168",0,1,6.02127659574468,4
"2","ALB93",-1.63995718575319,-1.41474534309588,-1.14366497670074,-1.06177864137778,0.321422450224255,0.193246712033356,-0.632541017786276,0.751208972765375,1.35536704819467,"153",0,3,11.0735294117647,54.5
"3","ALB94",-0.943710535029286,-1.21898262013269,-0.937714339168042,-1.01018541673088,0.250662737140382,-0.231921038986887,-0.562304288682907,0.91587439588445,1.2779011705999,"153",1,3,13.9186046511628,55
"4","ANK89",0.448782766418529,-0.429238985614537,-0.651036868313451,-0.745841255290543,0.694519119211948,-0.950841054348391,0.453076761562646,0.918240257016268,0.228821540212724,"144",5,9,NA,37.9
"5","ANK90",-0.0153816673974093,-0.203358920657014,-0.591670201397651,-0.632994391089785,0.675221015643619,-1.09926325106819,0.849132640496552,0.741593849130005,0.0259132755019589,"144",3,5,NA,50.3333333333333
"6","ANK91",-0.943710535029286,-0.959638841848126,-0.979226799179472,-0.895030630901296,0.745980728727492,-0.231921038986887,0.749074901798104,0.725478048287884,-0.00992550397064005,"144",2,5,9.52976190476191,47.8333333333333
"7","ANM02",0.21670054951056,-0.507878711933082,-0.663156272116258,-0.750150226321438,-0.116001230657868,-0.94053395735396,-0.0916393538743989,0.970431224774067,0.932338901295949,"144",1,6,11.1627408993576,32
"8","APR74",-1.17579275193726,-0.983063441177055,-1.0438519782383,-0.947721621873471,-1.0937718114532,1.04358221407385,-0.20596711966515,-0.768615670815087,-1.03672417238683,"122",2,2,13.75,11.6666666666667
"9","APR75",0.448782766418529,-1.39801348643236,-1.18400125734537,-1.05862278351764,-1.10792375406998,1.04358221407385,-0.728670303361076,-1.73468864545954,-0.531018755189563,"122",0,5,7.51612903225806,9.66666666666667
"10","ARA11",-1.17579275193726,-0.862594073199709,-0.923922689256917,-0.416052002158013,0.445959545251871,-5.18087366086254,1.21999359321171,0.570742354701853,-0.213006620387283,"147",1,2,14.8848167539267,102
"11","ARI96",-1.63995718575319,-1.35283747344085,-1.13628032113315,-1.03159028022533,0.519549646859099,0.363313812441458,-2.0343143689807,-2.81821434018305,-0.559443379570628,"132",1,2,13.6923076923077,54.3333333333333
"12","ASP78",-0.0153816673974093,0.213264310264638,0.172627497690633,-0.541040951540005,-0.122005085101348,-0.104370713680813,-0.338846554060679,0.951992718519016,0.982099439884539,"151",1,3,9.68478260869565,50.25
"13","AST90",-0.247463884305379,-0.578152509919866,-0.704368466162937,-0.857838263749995,0.679938329849211,-0.94053395735396,0.197578740576623,0.993852901169791,0.459533033088916,"144",2,5,9.88888888888889,51.5
"14","ATH87",0.680864983326498,0.20657156759923,-0.160891274166298,-0.300831553062464,0.678486848555182,0.278280262237407,-0.695875024394191,-1.98905940318352,-0.630900239905894,"132",5,7,14.8284789644013,46.125
"15","AVO89",0.680864983326498,0.22330342426275,-0.00737037025644512,1.56771065689409,1.09270332283847,-0.487021689599034,0.264963920147879,0.354436031563067,-1.2889194454298,"143",6,7,NA,65.5
"16","AVO90",0.448782766418529,0.429105261224049,0.0704388695376628,1.68201882250331,1.09270332283847,-0.487021689599034,0.351149504849581,0.387372545169671,-1.16396566853282,"143",3,9,20.0473684210526,61
"17","BAC98",-0.711628318121317,-0.835823102538077,-0.81246351344869,-0.832841350488987,0.754067553079934,-1.42239074184357,0.148897342557688,0.972483702075963,0.654596956620725,"144",3,5,11.1841155234657,43.5
"18","BAR79",0.21670054951056,0.653312140515219,0.272804547873691,-0.383568385967373,0.00750663217943724,0.176240001992547,-0.345110041376433,1.08839852421059,0.558304037367893,"155",3,8,NA,22.7777777777778
"19","BAR80",0.21670054951056,0.256767137589791,0.294013666655664,-0.53298284703165,0.0214012667486341,0.0798686450946276,-0.618937426072078,1.01040463145212,1.0173027954257,"155",4,9,10.8934426229508,21.5
"20","BAR83",-0.0153816673974093,0.235015723927214,0.140173273383393,-0.613243283882188,-0.131439713512531,-0.231921038986887,-0.547513098803844,0.931854966419681,1.14925552405651,"155",4,6,NA,25
"21","BAR84",-0.247463884305379,-0.0778699956806129,-0.113961776869989,-0.711800485545628,-0.0783699286996266,0.108213161829311,-0.411415751432984,0.997866544963255,0.907729915357771,"155",0,6,NA,26.2857142857143
"22","BCL84",-0.711628318121317,0.229996166928158,0.649965072461289,0.650533040218118,0.0747743074747551,-0.632793489948835,-0.388323207090186,0.402476596721299,-1.16171411288112,"144",0,3,15.2830188679245,72.5
"23","BCL87",-1.40787496884522,-0.717026920227084,-0.310639366253629,-0.222082051031157,0.144523167514573,-0.742122340211181,-0.49755698335644,0.328190462562187,-1.29606874747388,"144",0,1,14.6091954022988,122.5
"24","BCL93",0.680864983326498,0.52949640120517,0.174206161896262,2.13900033997168,0.789525167548337,-1.16729009123142,0.3637760895554,0.377131501266986,-1.21440430961306,"144",5,11,NA,36.75
"25","BCL95",-0.479546101213348,-0.36565793029316,-0.428957960730706,0.686406690324837,1.00880252018188,-0.924337090648431,0.383859394221778,0.404606433996302,-1.22357962965611,"144",2,3,NA,57.5
"26","BCL96",-0.0153816673974093,-0.0126157546928842,-0.169448521571527,1.37081054780493,0.812023127605773,-1.50742429204762,0.481528187017165,0.406945592461088,-1.22828645072392,"144",3,5,NA,44.1666666666667
