"id","year","degree","strength","eigen","mat","end","start","death","DeathYear","BirthYear","matSize","HRO2","LifetimeE","LifetimeN","centroid","strength2"
"ADZ84",1993,38,-1.61030921972317,0.0215121236574825,13,10,9,0,NA,1984,-0.512294205704994,0.518249227199145,1379.8558763636,8038.16858961492,4709.01223298926,"1st Qu."
"ALB93",1996,41,-1.20220093922396,0.0236713848424174,20,4,3,0,1998,1993,0.530113134599082,0.507015425763655,1378.01575741098,8042.22457260016,4710.12016500557,"mean"
"ALB93",1997,34,-0.98173488906797,0.0169315829227706,19,5,4,0,1998,1993,0.381197800269928,0.51891060467874,1377.69931805532,8039.65689645806,4708.67810725669,"mean"
"ALB93",1998,50,-0.447512975429052,0.0412141802181271,22,5.5,5,1,1998,1993,0.381197800269928,0.534985429388745,1379.55881021704,8040.18933269652,4709.87407145678,"mean"
"ALB94",1998,52,0.181752581039698,0.0529203986725159,22,5,4,0,2002,1994,0.381197800269928,0.552817275859634,1376.48491818063,8042.33191519183,4709.40841668623,"mean"
"ALB94",1999,65,0.555202193727781,0.0462279756199827,20,6,5,0,2002,1994,-0.512294205704994,0.483258682928993,1378.61982213417,8043.74193702103,4711.1808795776,"3rd Qu."
"ALB94",2000,60,0.427523084216014,0.0328369562018333,16,7,6,0,2002,1994,-0.065548202717533,0.523088543395928,1376.46905294024,8043.23629975666,4709.85267634845,"mean"
"ALB94",2001,65,0.518760540021567,0.102167937027657,20,8,7,0,2002,1994,0.679028468928235,0.507141174029788,1376.92850695899,8043.60816325481,4710.2683351069,"3rd Qu."
"ALD03",2006,39,-1.46231680265977,0.0657721970394975,9,4,3,0,NA,2003,NA,0.532999120330478,1364.42797451619,8013.1433334989,4688.78565400754,"1st Qu."
"ALD03",2007,38,-1.5389145069197,0.0600135625722939,9,5,4,0,NA,2003,0.976859137586543,0.450866756226359,1363.44488781438,8008.86525455157,4686.15507118298,"1st Qu."
"ALD95",1998,37,-1.41380695828561,0.0629809326297854,28,4,3,0,NA,1995,0.976859137586543,0.59475972274224,1363.67455418325,8019.7795642247,4691.72705920398,"1st Qu."
"ALL13",2016,42,0.526458341464919,0.137166888521741,6,4,3,0,NA,2013,0.530113134599082,0.466380175780619,1378.49786451921,8042.28291808384,4710.39039130152,"3rd Qu."
"ALL13",2017,55,-0.0785554466760711,0.0573975250341435,3,5,4,0,NA,2013,0.232282465940774,0.480277963786726,1380.30523698535,8039.17852492014,4709.74188095275,"mean"
"ALL13",2018,73,0.222387825632057,0.714146276111502,0,6,5,0,NA,2013,-0.065548202717533,0.530087902780436,1380.52219360672,8041.95546035764,4711.23882698218,"mean"
"AME15",2018,85,0.101893443181475,0.679610550646038,0,4,3,0,NA,2015,0.0833671316116207,0.676039111595832,1364.48001536448,8036.053537325,4700.26677634474,"mean"
"ANK89",1993,102,0.456475845327774,0.214477352783704,16,5,4,0,2003,1989,-0.661209540034148,0.618444624682535,1367.93645455815,8044.65241014169,4706.29443234992,"mean"
"ANK89",1994,90,-0.401651175367038,0.0834219619137364,19,6,5,0,2003,1989,0.381197800269928,0.660158487858405,1368.60736702549,8042.63080488258,4705.61908595404,"mean"
"ANK89",1995,54,-0.900011485752958,0.076470938108748,19,7,6,0,2003,1989,-0.661209540034148,0.607856885413987,1369.80781466874,8045.57507955991,4707.69144711432,"mean"
"ANK89",1996,49,-0.45334058738357,0.0791949852220763,25,8,7,0,2003,1989,0.976859137586543,0.627010754107138,1368.94084509591,8042.24774559936,4705.59429534763,"mean"
"ANK89",1997,37,-1.01491749969917,0.0348962761264901,27,9,8,0,2003,1989,0.232282465940774,0.657810096099248,1368.77932001171,8042.84998936644,4705.81465468908,"mean"
"ANK89",1998,50,-0.998931333638264,0.0676226268787171,31,10,9,0,2003,1989,0.381197800269928,0.631167150467084,1370.51132667759,8043.33843374989,4706.92488021374,"mean"
"ANK89",1999,76,-0.401777226196919,0.0502707839260279,31,11,10,0,2003,1989,-0.065548202717533,0.657627243774212,1370.10583591394,8042.5447915953,4706.32531375462,"mean"
"ANK89",2000,52,-0.792458040743558,0.0291498944227739,26,12,11,0,2003,1989,-1.10795554302161,0.620941126414697,1371.28374215154,8044.31332587492,4707.79853401323,"mean"
"ANK89",2001,55,-0.448546683024641,0.111537566586316,27,13,12,0,2003,1989,0.381197800269928,0.661885513599843,1368.47588107166,8044.17439116074,4706.3251361162,"mean"
"ANK89",2002,82,-0.557215987250887,0.106976996752183,24,14,13,0,2003,1989,-0.512294205704994,0.650063893153448,1370.51519733644,8043.94911179756,4707.232154567,"mean"
"ANK89",2003,67,-0.745210274459901,0.160968883853459,27,14.5,14,1,2003,1989,0.827943803257389,0.619432920931543,1370.13268000511,8043.45588532224,4706.79428266368,"mean"
