"id","lifespan","censoring","strength","eigen","degree","matSize","LRS","LBS","sum_degree","sum_strength","sum_eigen","meanE","meanN","sumHRO","meanHRO"
"ALB93",5,1,-0.695630466363299,-0.99448601682668,-0.869731653686042,-0.0391304667664727,0,3,-1.09784002816259,-1.06745761646141,-0.866005442519595,1.47061560726605,0.496839015386191,-1.16724182232284,-0.843404978375604
"ALB94",8,1,-0.374489018462061,-0.948418250814001,-0.739432281412895,-0.174006117689602,1,3,-0.659476992469898,-0.48428367389355,-0.801127825412905,1.29435241934918,0.797675980172611,-0.997662315210839,-0.881225507759936
"ANK89",14,1,-0.364457064403256,-0.738788214305662,-0.0329166659653128,0.297230186027092,5,9,0.246929909457185,0.0446109099901228,-0.549137632350752,0.267027172584617,0.842981797261542,0.661945154207763,0.345646963574079
"ANK90",12,1,0.0522278132494363,-0.571335397914195,0.686831505350679,0.279832221227427,3,5,0.555153918928612,0.178632759503086,-0.43592849580845,0.130634360228884,0.746175069690214,0.494289289259904,0.485497418034899
"ANK91",8,1,-0.587918988327972,-0.72512775069347,0.0123608072946758,0.343624758826204,2,5,-0.476825727597942,-0.69623274931074,-0.698721754491422,0.122049172289274,0.595662483985575,-0.371833820983477,0.525756867823192
"ANM02",13,1,-0.403552210917079,-0.743360821737212,-0.186750972704066,-0.433484335558923,1,6,0.139622291344911,0.0172478842994336,-0.55347928397905,0.994586833342629,0.864197760608608,0.408508159883184,-0.35106893685864
"APH95",5,1,-2.19715756959271,-1.07090381528344,-2.02785304803488,0.5477608791423,1,1,-1.33985295411794,-1.36857076893917,-0.888458431305831,NA,NA,NA,NA
"ARA11",7,1,0.171846221897526,0.463121162219,0.906454526247919,0.0731443994073816,1,2,-0.344403560565773,-0.571409021158216,-0.218399870797144,-0.146066661320008,0.462488792977213,-0.479708666909262,1.20303253933061
"ARI96",5,1,-0.608298953363983,-0.877632164117329,-0.425685108702552,0.139488638510115,1,2,-1.01336381815931,-1.05078741581994,-0.835745878912733,-0.517065583666611,-3.8875417187819,-1.37612706708567,-2.94895181534369
"AST90",11,1,-0.116779779721069,-0.802676198447653,0.130373177357853,0.284085057067349,2,5,0.0437303772871337,-0.0757692887264646,-0.661433011406726,0.56818921153819,0.987486939723773,0.122090697797561,-0.0308324469329705
"ATH87",15,1,0.0207144857635623,-0.587504388676284,-0.0460089473898889,0.227638326828424,5,7,0.237797346213587,0.314195755229489,-0.405494934456468,-0.547394142180837,-2.93302072637899,0.00874742878885806,-0.982769710681423
"AVO89",15,1,1.36697266846809,1.47099249212007,0.942458300165499,0.656208193060228,6,7,1.13735482570797,1.49772740030874,1.77110456034686,-1.2337739019004,0.277147915133116,0.696337265256596,-0.106717121110966
"AVO90",14,1,1.59699993497735,1.58172483120914,1.3114969828207,0.656208193060228,3,9,1.41818114544861,1.67336162690219,1.88580209681018,-1.05062023112791,0.188100701084545,0.901814252879538,0.411080847159174
"BAC98",9,1,-0.00519142370792095,-0.67581213133252,0.0526507447738724,0.350915334551779,3,5,-0.307873307591382,-0.319799882851345,-0.63641325775516,0.63347756213655,0.910015418926705,-0.251820247764456,0.0944274237418645
"BAR80",13,1,-0.622401429488432,-1.09027066160381,-1.93784361324093,-0.409127184839391,4,9,-1.32843725006344,-1.16817345594689,-0.891801823098273,NA,NA,NA,NA
"BAR83",12,1,-0.131987569942428,-0.927578468925009,-0.677711526125615,-0.523953752517194,4,6,-0.954002157075928,-0.813968950786679,-0.833643682337001,1.235874309862,0.983592292816445,-1.14563136423561,-0.625573260665376
"BAR84",11,1,-0.581626951057287,-0.947487315590553,-0.614704921769849,-0.523953752517194,0,6,-0.938020171399632,-0.928407652114697,-0.840517602172732,0.895868226972442,1.08090565546104,-1.31269680698273,-0.403003986466938
"BCL84",9,1,0.40564869181551,-0.500416808961768,-1.03774926530142,-0.141198526924517,0,3,-1.21428020951847,-1.03734781464026,-0.789972516610227,-0.8505790800109,0.185921407092237,-1.49268177581312,-0.125979584004458
"BCL87",6,1,0.31152267194757,-0.570389769080217,-1.12775870009537,-0.141198526924517,0,1,-1.22569591357296,-1.04932592412898,-0.802052285132314,-1.13212076841889,-0.00742958817954035,-1.49533759810286,-0.206291023350876
"BCL93",15,1,1.57077009444787,1.78390687658153,1.19448471758856,0.382881705040836,5,11,1.55516959410257,1.90757550508099,2.34430832651177,-1.21509311774169,0.235659586320822,1.02449051593789,0.193841541353025
"BCL95",10,1,1.93853711617351,1.84596007556885,1.49794509775101,0.580568469907385,2,3,0.333689260271364,0.545929663016599,0.887296553239358,-1.22136002402887,0.1842590102662,-0.215890561855783,0.249642455675839
"BCL96",12,1,1.99186118221813,2.07448709963317,1.4825149089292,0.403164460585066,3,5,0.815431971371149,1.13174905290411,1.57371038712937,-1.09749212650905,0.16677358570452,0.25216757869917,0.406222462420134
"BEA00",16,1,-1.6337536457768,-1.04141136657542,-1.26920209762872,-1.30586799908509,0,8,-0.406048362460059,-0.692749360661141,-0.820845298468711,2.07378912984591,-0.0311435627160844,0.308365530523339,-1.80416013659502
"BIE01",12,1,1.00623151170032,2.22063131563594,0.0603658391847817,-0.990915127740259,1,7,0.157887417832106,0.785646673865696,1.97402468924817,-1.41273863793557,0.383570041470331,0.325891670869133,-0.0237330062943496
"BIE97",13,1,1.36864385262702,2.05093245620075,0.451497746743951,-0.990219209148272,3,6,0.584834749470304,1.25762298811337,2.09967827256099,-1.42079113987943,0.436507853314333,0.493841179255555,-0.116482539607883
