"","id","year","degree","strength","eigen","mat","end","start","death","DeathYear","BirthYear","lastSeen","matSize","HRO2","LifetimeE","LifetimeN","centroid","sex","matriline"
"1","ADZ84",1987,0.592563382814663,-0.300480134514617,-0.897598008985859,15,4,3,0,NA,1984,1996,0.80773443818857,-0.150727786290585,1.43976301278616,0.471848891215669,4709.36384127874,1,"155"
"2","ADZ84",1988,0.124335648270209,-0.0222930223234745,-0.893428689938996,18,5,4,0,NA,1984,1996,0.535959009179542,-0.763032888497353,1.46565680572268,0.475713893376341,4709.48119676763,1,"155"
"3","ADZ84",1989,0.897929296648002,0.0365425878887915,-0.757682882791475,13,6,5,0,NA,1984,1996,-0.279367277847543,-0.565010853392512,1.28415152628925,0.537077788980643,4709.09037931056,1,"155"
"4","ADZ84",1990,-0.119957082796462,0.125164599735118,-0.840145285013978,15,7,6,0,NA,1984,1996,0.535959009179542,-0.375977669343576,1.15632911462301,0.744066334253932,4709.61461451824,1,"155"
"5","ADZ84",1991,0.10397792068132,-0.128238869076158,-0.894647967096263,20,8,7,0,NA,1984,1996,NA,-1.10530417917381,1.41147071558874,0.660869053282056,4710.17893210742,1,"155"
"6","ADZ84",1992,-0.547469362163138,-0.187220836012552,-0.918041339481894,18,9,8,0,NA,1984,1996,0.264183580170513,-0.480362382361086,0.941651065840686,0.682150378071936,4708.49583184996,1,"155"
"7","ADZ84",1993,-1.32106301054093,-0.698600658423566,-1.1251575349523,13,10,9,0,NA,1984,1996,-0.00759184883851511,-0.488164404995766,1.71292426331537,0.450683717689198,4710.29950741067,1,"155"
"8","AGA84",1987,-1.32106301054093,-0.572339158746941,-1.17010139128165,2,4,3,0,1992,1984,1992,0.80773443818857,-2.42991258033901,2.66502077196797,-0.254716045390027,4710.47744944324,1,"168"
"9","AGA84",1988,-1.72821756231872,-0.626364730993334,-1.18606622418905,2,5,4,0,1992,1984,1992,NA,-2.65093804501512,2.71367227491622,-0.135872995450545,4711.24263062181,1,"168"
"10","AGA84",1989,-1.30070528295204,-0.422787127566,-1.15317422581765,1,6,5,0,1992,1984,1992,0.80773443818857,-2.61403128829576,2.94669625577785,-0.0801148561957153,4712.40113366854,1,"168"
"11","AGA84",1990,-1.13784346224093,-0.359879127179346,-1.1460142625834,1,7,6,0,1992,1984,1992,NA,-2.99462026490525,3.10632614971104,0.0508420003491596,4713.64756086795,1,"168"
"12","ALB93",1996,-1.25998982777426,-0.61701208747446,-1.11784429132364,20,4,3,0,1998,1993,1998,0.264183580170513,-0.784096257885765,1.41532146262985,0.681282270724503,4710.29322578268,1,"153"
"13","ALB93",1997,-1.40249392089649,-0.572936750524621,-1.14084556663293,19,5,4,0,1998,1993,1998,0.535959009179542,-0.73215419618064,1.15395698503806,0.734691651217177,4709.5598294654,1,"153"
"14","ALB93",1998,-1.07677027947426,-0.46613567692185,-1.05842825707751,22,5.5,5,1,1998,1993,1998,0.264183580170513,-0.420852867920527,1.29303697939481,0.698279292430055,4709.91108095695,1,"153"
"15","ALB94",1998,-1.03605482429648,-0.340333579897553,-1.0187802385216,22,5,4,0,2002,1994,2002,0.264183580170513,-0.445237971834745,1.35245419511647,0.763415923606073,4710.45504217271,1,"153"
"16","ALB94",1999,-0.77140436564092,-0.265673932748403,-1.04144693608962,20,6,5,0,2002,1994,2002,-0.8229181358656,-0.517953947652907,1.07682981085892,0.961845905451664,4710.37532575041,1,"153"
"17","ALB94",2000,-0.873193003585366,-0.291199403764028,-1.0868012397396,16,7,6,0,2002,1994,2002,0.264183580170513,-0.630138514314082,1.26516381845378,0.79380151750874,4710.27135570162,1,"153"
"18","ALB94",2001,-0.77140436564092,-0.272959309181528,-0.85198279474031,20,8,7,0,2002,1994,2002,0.80773443818857,-0.72228395655436,1.15698584453423,0.987924611397117,4710.80750690033,1,"153"
"19","ALD03",2006,-1.30070528295204,-0.669014172688122,-0.975252233118638,9,4,3,0,NA,2003,2007,NA,-0.357641119376375,-1.15813558356341,-2.06851087328102,4687.08182077156,1,"132"
"20","ALD03",2007,-1.32106301054093,-0.684327503799426,-0.99475626399778,9,5,4,0,NA,2003,2007,0.80773443818857,-1.48319392490526,-1.06004363976571,-2.65474037230352,4684.59323890966,1,"132"
"21","ALD95",1998,-1.34142073812982,-0.659316136484076,-0.984706020739458,28,4,3,0,NA,1995,1998,NA,-0.898497058320796,-0.627178579592323,-2.02196984359171,4689.32853524842,1,"132"
